"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin"
"eir_1","fleet",0,0,1,0.5,0.0465149,0.0090232,0.182104
"eir_1","fleet",0,1,2,1.5,0.0443513,0.0212066,0.41797
"eir_1","fleet",0,2,3,2.5,0.0422883,0.0302419,0.571737
"eir_1","fleet",0,3,5,4,0.0787669,0.0394152,0.687232
"eir_1","fleet",0,5,7,6,0.0716097,0.0468358,0.759349
"eir_1","fleet",0,7,10,8.5,0.095401,0.0506491,0.739355
"eir_1","fleet",0,10,15,12.5,0.131618,0.0505109,0.608966
"eir_1","fleet",0,15,20,17.5,0.103725,0.0472,0.479499
"eir_1","fleet",0,20,30,25,0.146164,0.0423599,0.382335
"eir_1","fleet",0,30,40,35,0.0907776,0.0382835,0.309286
"eir_1","fleet",0,40,60,50,0.0913943,0.0358775,0.251635
"eir_1","fleet",0,60,85,72.5,0.0573898,0.0344229,0.199689
"eir_3","fleet",0,0,1,0.5,0.0465149,0.0243768,0.482154
"eir_3","fleet",0,1,2,1.5,0.0443513,0.0552612,1.09217
"eir_3","fleet",0,2,3,2.5,0.0422883,0.0753062,1.36967
"eir_3","fleet",0,3,5,4,0.0787669,0.0920852,1.47271
"eir_3","fleet",0,5,7,6,0.0716097,0.0991963,1.28748
"eir_3","fleet",0,7,10,8.5,0.095401,0.0949679,1.01695
"eir_3","fleet",0,10,15,12.5,0.131618,0.0821567,0.775257
"eir_3","fleet",0,15,20,17.5,0.103725,0.0697626,0.555774
"eir_3","fleet",0,20,30,25,0.146164,0.0599218,0.365613
"eir_3","fleet",0,30,40,35,0.0907776,0.0526043,0.198323
"eir_3","fleet",0,40,60,50,0.0913943,0.0489131,0.129213
"eir_3","fleet",0,60,85,72.5,0.0573898,0.0470963,0.0981415
"eir_10","fleet",0,0,1,0.5,0.0465149,0.0662824,1.26677
"eir_10","fleet",0,1,2,1.5,0.0443513,0.140032,2.74684
"eir_10","fleet",0,2,3,2.5,0.0422883,0.175311,2.88401
"eir_10","fleet",0,3,5,4,0.0787669,0.188903,2.27027
"eir_10","fleet",0,5,7,6,0.0716097,0.179525,1.70512
"eir_10","fleet",0,7,10,8.5,0.095401,0.153417,1.15383
"eir_10","fleet",0,10,15,12.5,0.131618,0.117354,0.574536
"eir_10","fleet",0,15,20,17.5,0.103725,0.0877257,0.285748
"eir_10","fleet",0,20,30,25,0.146164,0.0670179,0.187613
"eir_10","fleet",0,30,40,35,0.0907776,0.0553451,0.133635
"eir_10","fleet",0,40,60,50,0.0913943,0.0503166,0.0970983
"eir_10","fleet",0,60,85,72.5,0.0573898,0.0478574,0.0621395
"demography","fleet",0,0,1,0.5,0.0178526,0.0185246,0.367978
"demography","fleet",0,1,2,1.5,0.0173667,0.0426393,0.842875
"demography","fleet",0,2,3,2.5,0.0172455,0.058902,1.08347
"demography","fleet",0,3,5,4,0.034131,0.0736857,1.21936
"demography","fleet",0,5,7,6,0.0337912,0.0820715,1.15852
"demography","fleet",0,7,10,8.5,0.0503082,0.0813628,0.944352
"demography","fleet",0,10,15,12.5,0.082641,0.0724071,0.713456
"demography","fleet",0,15,20,17.5,0.0810046,0.0623161,0.550434
"demography","fleet",0,20,30,25,0.154146,0.053669,0.385308
"demography","fleet",0,30,40,35,0.142295,0.0480459,0.253653
"demography","fleet",0,40,60,50,0.225302,0.044817,0.153864
"demography","fleet",0,60,85,72.5,0.143916,0.043403,0.108258
"eir_1","IBM",1,0,1,0.5,0.0481748,0.0102375,0.200444
"eir_1","IBM",1,1,2,1.5,0.0472096,0.0182746,0.378224
"eir_1","IBM",1,2,3,2.5,0.0433719,0.0319114,0.555432
"eir_1","IBM",1,3,5,4,0.0781868,0.041092,0.714156
"eir_1","IBM",1,5,7,6,0.0741494,0.0466745,0.711459
