"scenario","model","rep","doy","pvpr_2_10","clin_0_5"
"eir_1","IBM",1,4,0.0455989,0.462395
"eir_1","IBM",1,11,0.0475678,0.341578
"eir_1","IBM",1,18,0.0401642,0.342402
"eir_1","IBM",1,25,0.0414956,0.563688
"eir_1","IBM",1,32,0.0424782,0.418099
"eir_1","IBM",1,39,0.046702,0.614106
"eir_1","IBM",1,46,0.0444499,0.515918
"eir_1","IBM",1,53,0.0439765,0.442991
"eir_1","IBM",1,60,0.0444194,0.468201
"eir_1","IBM",1,67,0.0443889,0.642432
"eir_1","IBM",1,74,0.04239,0.642127
"eir_1","IBM",1,81,0.045459,0.542824
"eir_1","IBM",1,88,0.0481732,0.443799
"eir_1","IBM",1,95,0.0465311,0.541982
"eir_1","IBM",1,102,0.0424591,0.54147
"eir_1","IBM",1,109,0.0440974,0.566541
"eir_1","IBM",1,116,0.0462315,0.590854
"eir_1","IBM",1,123,0.0465401,0.418776
"eir_1","IBM",1,130,0.0434634,0.442365
"eir_1","IBM",1,137,0.0435654,0.34534
"eir_1","IBM",1,144,0.0448198,0.419881
"eir_1","IBM",1,151,0.0439292,0.49331
"eir_1","IBM",1,158,0.0442114,0.715106
"eir_1","IBM",1,165,0.0433271,0.369234
"eir_1","IBM",1,172,0.0425261,0.467066
"eir_1","IBM",1,179,0.0433229,0.393054
"eir_1","IBM",1,186,0.0428627,0.637683
"eir_1","IBM",1,193,0.043508,0.441859
"eir_1","IBM",1,200,0.044035,0.343761
"eir_1","IBM",1,207,0.0430465,0.393292
"eir_1","IBM",1,214,0.0435336,0.588868
"eir_1","IBM",1,221,0.0422335,0.318072
"eir_1","IBM",1,228,0.0406119,0.440526
"eir_1","IBM",1,235,0.0425511,0.392104
"eir_1","IBM",1,242,0.0435016,0.318478
"eir_1","IBM",1,249,0.044645,0.564446
"eir_1","IBM",1,256,0.0464697,0.490229
"eir_1","IBM",1,263,0.0464458,0.563423
"eir_1","IBM",1,270,0.0462845,0.36708
"eir_1","IBM",1,277,0.0433656,0.391264
"eir_1","IBM",1,284,0.0454123,0.463694
"eir_1","IBM",1,291,0.0456104,0.585679
"eir_1","IBM",1,298,0.0435017,0.36627
"eir_1","IBM",1,305,0.0421454,0.464501
"eir_1","IBM",1,312,0.0428432,0.318307
"eir_1","IBM",1,319,0.0430769,0.683155
"eir_1","IBM",1,326,0.0430002,0.292214
"eir_1","IBM",1,333,0.0430465,0.390009
"eir_1","IBM",1,340,0.0425282,0.486634
