"scenario","model","rep","pvpr_2_10","pcr_2_10","clin_0_5","clin_all","relapse_all","hyp_all","eir_realised"
"eir_1","fleet",0,0.0436336535825649,0.087969189412034,0.49696255978828,0.478533553760434,1.79990492063823,0.15101028512342,1.1366637024064
"eir_3","fleet",0,0.0923444335255492,0.183075430448466,1.1550901655331,0.682571686077081,4.81566978076093,0.310799295616556,3.31541187714256
"eir_10","fleet",0,0.172824212422885,0.344586837302035,2.27221956284437,0.870963599889678,12.9898577969838,0.547837826840408,10.6717227208653
"demography","fleet",0,0.0767463012564882,0.152849120364305,0.941271273670526,0.417448531168172,4.34505561287242,0.295055909311786,2.45256227638048
"nets_e1","fleet",0,0.0115201136475345,0.0234502905250538,0.133981244668527,0.141940211608463,0.399181258218129,0.0413147517210431,0.349421531201525
"nets","fleet",0,0.051655645495579,0.100701978672742,0.671163552063105,0.455032827169393,2.09482285803399,0.166295029209873,2.00673517087124
"nets_e10","fleet",0,0.142108584891679,0.269824264201515,2.0683425697203,0.878958730195517,8.0517149786602,0.418970947243819,8.13215086105262
"irs_e1","fleet",0,0.00398519634084692,0.00804374034947854,0.0465520484193582,0.0506398284409655,0.139644531902183,0.0153200055143658,0.152367970827919
"irs","fleet",0,0.030558694679079,0.0576096330908329,0.420479907622715,0.300682178906071,1.10887498800048,0.0926755652584433,1.55777881140245
"irs_e10","fleet",0,0.122240145887286,0.213651785952333,1.93187956951128,0.893864584350249,6.01039237096051,0.30967337957509,8.58547178367103
"treatment_e1","fleet",0,0.01486307730621,0.0321436333039334,0.280940174062555,0.296143485072577,1.02241329054651,0.100969851061578,0.659108320484546
"treatment","fleet",0,0.0457839645655537,0.0963628714431592,0.86360319550526,0.556911410909023,3.61994339736487,0.264026543405063,2.54517112110865
"treatment_e10","fleet",0,0.110090313854917,0.231285878030734,2.02148982165173,0.815579404689187,11.1808684945798,0.515166204844232,9.31803409983578
"primaquine_e1","fleet",0,0.00183026341119262,0.00418708206823911,0.0374878088479636,0.0456711391366701,0.252348642147511,0.0247055771625883,0.220390147659851
"primaquine","fleet",0,0.0121277336560096,0.0270006105333562,0.242912736204317,0.190291221384566,1.83744855872073,0.131881359831764,1.61615882683988
"primaquine_e10","fleet",0,0.047570087947206,0.106433793119272,0.896198454327973,0.427473114267156,8.00756768193106,0.360248624269724,7.70385850798367
"tafenoquine_e1","fleet",0,0.00165009678403192,0.00370962472236853,0.0356408646655492,0.0435260644163741,0.242524056094981,0.0238610376820054,0.209405798144407
"tafenoquine","fleet",0,0.0111704570709782,0.0246860859825886,0.234623262392777,0.184528631522975,1.78774519402701,0.129211856383255,1.56521956071782
"tafenoquine_e10","fleet",0,0.0447971024946074,0.100348079929429,0.872355955919953,0.418649124752028,7.85880409926287,0.355893201913547,7.54981007917463
"eir_0.3","fleet",0,0.0161912443004851,0.0334623929422071,0.174746010539736,0.261473381396571,0.571347736775784,0.0575692091034019,0.351275964484022
"eir_30","fleet",0,0.262833207609635,0.522682575521505,3.50454030394317,1.00652576625374,25.9179400245051,0.766526699171482,31.6020104202669
"seasonal","fleet",0,0.0918240137033689,0.181474389271732,1.14640986594898,0.682353657833222,4.72291190124652,0.307304385006207,3.2832800859586
"eir_1","IBM",1,0.0442901080136857,0.0881368620928586,0.495310030072043,0.467980349932334,1.84875904111422,0.152555377902365,1.1350073158703
"eir_3","IBM",1,0.0887168704193599,0.178245651989641,1.11910024648123,0.666826216676818,4.71447946671328,0.304790976160232,3.22413079032863
"eir_10","IBM",1,0.167743407693625,0.339441213195349,2.05336653452284,0.83233851735497,12.8137216893742,0.540250211551727,10.2197161065781
