"scenario","model","rep","year","pvpr_2_10","clin_0_5","clin_all","relapse_all"
"eir_1","IBM",1,0,0.0416691,0.454997,0.410017,1.64493
"eir_1","IBM",1,0.0821918,0.0420021,0.529102,0.411253,1.63284
"eir_1","IBM",1,0.164384,0.0419151,0.502341,0.412491,1.66578
"eir_1","IBM",1,0.246575,0.0460303,0.571937,0.436831,1.64146
"eir_1","IBM",1,0.328767,0.0465235,0.456712,0.418656,1.62959
"eir_1","IBM",1,0.410959,0.0472145,0.538972,0.475859,1.74644
"eir_1","IBM",1,0.493151,0.0427138,0.616024,0.441783,1.66977
"eir_1","IBM",1,0.575342,0.0404687,0.489315,0.389467,1.62481
"eir_1","IBM",1,0.657534,0.040715,0.496702,0.418701,1.55431
"eir_1","IBM",1,0.739726,0.0443554,0.585912,0.421135,1.62855
"eir_1","IBM",1,0.821918,0.0452811,0.586649,0.45765,1.64559
"eir_1","IBM",1,0.90411,0.0465623,0.467823,0.423569,1.63099
"eir_1","IBM",1,0.986301,0.0450976,0.501762,0.410181,1.67967
"eir_1","IBM",1,1.06849,0.0422413,0.500623,0.462518,1.75392
"eir_1","IBM",1,1.15068,0.0447749,0.542966,0.44913,1.68576
"eir_1","IBM",1,1.23288,0.0440442,0.548707,0.434524,1.63099
"eir_1","IBM",1,1.31507,0.0405609,0.449948,0.405388,1.63738
"eir_1","IBM",1,1.39726,0.0456039,0.370953,0.404216,1.68992
"eir_1","IBM",1,1.47945,0.0451424,0.51197,0.457787,1.74836
"eir_1","IBM",1,1.56164,0.0420722,0.529559,0.445612,1.68626
"eir_1","IBM",1,1.64384,0.0438776,0.459003,0.450482,1.68383
"eir_1","IBM",1,1.72603,0.0427768,0.531682,0.466355,1.69617
"eir_1","IBM",1,1.80822,0.0454455,0.531607,0.451745,1.7047
"eir_1","IBM",1,1.89041,0.0411173,0.485096,0.460268,1.6085
"eir_1","IBM",1,1.9726,0.0445004,0.508308,0.451745,1.80211
"eir_1","IBM",1,2.05479,0.0411358,0.462281,0.424971,1.67918
"eir_1","IBM",1,2.13699,0.042609,0.444116,0.401862,1.64885
"eir_1","IBM",1,2.21918,0.0392982,0.432348,0.433524,1.72192
"eir_1","IBM",1,2.30137,0.0414526,0.526345,0.456691,1.72081
"eir_1","IBM",1,2.38356,0.0427405,0.433437,0.459178,1.75632
"eir_1","IBM",1,2.46575,0.0418132,0.578108,0.476241,1.75028
"eir_1","IBM",1,2.54795,0.0415946,0.530599,0.43361,1.74053
"eir_1","IBM",1,2.63014,0.0426749,0.550234,0.47015,1.77585
"eir_1","IBM",1,2.71233,0.0384363,0.431704,0.472629,1.77601
"eir_1","IBM",1,2.79452,0.0405816,0.465228,0.449489,1.76629
"eir_1","IBM",1,2.87671,0.0426423,0.484765,0.467761,1.75289
"eir_1","IBM",1,2.9589,0.0424316,0.426717,0.454362,1.80283
"eir_1","IBM",1,3.0411,0.0437023,0.556668,0.503173,1.81167
"eir_1","IBM",1,3.12329,0.0473862,0.522898,0.499533,1.84705
"eir_1","IBM",1,3.20548,0.0422634,0.609245,0.487349,1.80928
"eir_1","IBM",1,3.28767,0.0430758,0.509784,0.443488,1.85436
"eir_1","IBM",1,3.36986,0.0411604,0.527916,0.487375,1.87883
"eir_1","IBM",1,3.45205,0.0429208,0.548804,0.512986,1.80946
"eir_1","IBM",1,3.53425,0.0451499,0.621998,0.533701,1.78266
"eir_1","IBM",1,3.61644,0.0441722,0.411767,0.459343,1.84712
"eir_1","IBM",1,3.69863,0.0388844,0.500786,0.477602,1.8239
"eir_1","IBM",1,3.78082,0.0406552,0.535678,0.526309,1.79944
"eir_1","IBM",1,3.86301,0.0439061,0.484728,0.501919,1.85661
"eir_1","IBM",1,3.94521,0.0439712,0.611795,0.55674,1.909
