"scenario","model","rep","years","elapsed_s"
"eir_1","IBM",1,33,104.22
"eir_3","IBM",1,33,108.86
"eir_10","IBM",1,33,115.52
"demography","IBM",1,33,107.62
"eir_1","IBM",2,33,107.16
"eir_3","IBM",2,33,111.58
"eir_10","IBM",2,33,116.9
"demography","IBM",2,33,110.09
"eir_1","IBM",3,33,102.03
"eir_3","IBM",3,33,106.47
"eir_10","IBM",3,33,113.03
"demography","IBM",3,33,105.22
"eir_1","IBM",4,33,107.54
"eir_3","IBM",4,33,113.06
"eir_10","IBM",4,33,119.34
"demography","IBM",4,33,112.55
"eir_1","IBM",5,33,103.42
"eir_3","IBM",5,33,108.58
"eir_10","IBM",5,33,114.3
"demography","IBM",5,33,107.28
"eir_1","IBM",6,33,103.4
"eir_3","IBM",6,33,108.98
"eir_10","IBM",6,33,116.6
"demography","IBM",6,33,108.52
"eir_1","IBM",7,33,110.63
"eir_3","IBM",7,33,113.33
"eir_10","IBM",7,33,119.75
"demography","IBM",7,33,112.53
"eir_1","IBM",8,33,101.67
"eir_3","IBM",8,33,104.2
"eir_10","IBM",8,33,108.99
"demography","IBM",8,33,101.02
"eir_1","IBM",9,33,95.67
"eir_3","IBM",9,33,99.84
"eir_10","IBM",9,33,106.31
"demography","IBM",9,33,99.3
"eir_1","IBM",10,33,95.93
"eir_3","IBM",10,33,100.37
"eir_10","IBM",10,33,107.52
"demography","IBM",10,33,100.22
"eir_1","IBM",11,33,97.78
"eir_3","IBM",11,33,101.97
"eir_10","IBM",11,33,107.5
"demography","IBM",11,33,100.5
"eir_1","IBM",12,33,96.67
"eir_3","IBM",12,33,101.16
"eir_10","IBM",12,33,108.88
"demography","IBM",12,33,100.16
"eir_1","IBM",13,33,98.28
"eir_3","IBM",13,33,105.69
"eir_10","IBM",13,33,113.26
"demography","IBM",13,33,105.99
"eir_1","IBM",14,33,102.31
"eir_3","IBM",14,33,107.52
"eir_10","IBM",14,33,111.6
"demography","IBM",14,33,103.09
"eir_1","IBM",15,33,99.53
"eir_3","IBM",15,33,101.66
"eir_10","IBM",15,33,107.63
"demography","IBM",15,33,100.84
"eir_1","IBM",16,33,96.77
"eir_3","IBM",16,33,100.42
"eir_10","IBM",16,33,105.3
"demography","IBM",16,33,98.55
"eir_1","IBM",17,33,93.7
"eir_3","IBM",17,33,98.56
"eir_10","IBM",17,33,106.42
"demography","IBM",17,33,98.64
"eir_1","IBM",18,33,95.89
"eir_3","IBM",18,33,101.37
"eir_10","IBM",18,33,105.88
"demography","IBM",18,33,99.62
"eir_1","IBM",19,33,96.05
"eir_3","IBM",19,33,99.64
"eir_10","IBM",19,33,106.59
"demography","IBM",19,33,99.45
"eir_1","IBM",20,33,95.27
"eir_3","IBM",20,33,100.69
"eir_10","IBM",20,33,108.47
"demography","IBM",20,33,101.39
"nets_e1","IBM",1,36,72.05
"nets","IBM",1,36,76.93
"nets_e10","IBM",1,36,83.6
"irs_e1","IBM",1,36,61.33
"irs","IBM",1,36,66.76
"irs_e10","IBM",1,36,76.55
"treatment_e1","IBM",1,36,62.5
"treatment","IBM",1,36,66.94
"treatment_e10","IBM",1,36,75.45
"primaquine_e1","IBM",1,36,59.34
"primaquine","IBM",1,36,65.13
"primaquine_e10","IBM",1,36,74.31
"tafenoquine_e1","IBM",1,36,60.06
"tafenoquine","IBM",1,36,65.14
"tafenoquine_e10","IBM",1,36,73.97
"nets_e1","IBM",2,36,63.05
"nets","IBM",2,36,68.88
"nets_e10","IBM",2,36,77.58
"irs_e1","IBM",2,36,57.87
"irs","IBM",2,36,63.11
"irs_e10","IBM",2,36,75.97
"treatment_e1","IBM",2,36,63.66
"treatment","IBM",2,36,69.91
"treatment_e10","IBM",2,36,78.2
"primaquine_e1","IBM",2,36,63.17
"primaquine","IBM",2,36,68.4
"primaquine_e10","IBM",2,36,76.58
"tafenoquine_e1","IBM",2,36,61.7
"tafenoquine","IBM",2,36,65.12
"tafenoquine_e10","IBM",2,36,74.58
"nets_e1","IBM",3,36,64.16
"nets","IBM",3,36,70.02
"nets_e10","IBM",3,36,78.32
"irs_e1","IBM",3,36,58.25
"irs","IBM",3,36,62.89
"irs_e10","IBM",3,36,72.16
"treatment_e1","IBM",3,36,58.37
"treatment","IBM",3,36,63.92
"treatment_e10","IBM",3,36,72.58
"primaquine_e1","IBM",3,36,57.89
"primaquine","IBM",3,36,64.87
"primaquine_e10","IBM",3,36,74.19
"tafenoquine_e1","IBM",3,36,60.24
"tafenoquine","IBM",3,36,65.86
"tafenoquine_e10","IBM",3,36,74.05
"nets_e1","IBM",4,36,63.98
