"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"eir_20","IBM",1,4,0.538612,1.58299
"eir_20","IBM",1,11,0.538104,1.46297
"eir_20","IBM",1,18,0.539483,1.58414
"eir_20","IBM",1,25,0.539223,1.44183
"eir_20","IBM",1,32,0.54632,1.78119
"eir_20","IBM",1,39,0.548282,1.3711
"eir_20","IBM",1,46,0.552032,1.73088
"eir_20","IBM",1,53,0.555241,1.61206
"eir_20","IBM",1,60,0.556245,1.75504
"eir_20","IBM",1,67,0.556565,1.2005
"eir_20","IBM",1,74,0.554937,1.51213
"eir_20","IBM",1,81,0.558433,1.77931
"eir_20","IBM",1,88,0.558642,1.75886
"eir_20","IBM",1,95,0.559061,1.39552
"eir_20","IBM",1,102,0.560498,1.63753
"eir_20","IBM",1,109,0.561281,1.29842
"eir_20","IBM",1,116,0.55855,1.70887
"eir_20","IBM",1,123,0.558777,1.63958
"eir_20","IBM",1,130,0.554343,1.73225
"eir_20","IBM",1,137,0.548483,1.66128
"eir_20","IBM",1,144,0.548756,1.27816
"eir_20","IBM",1,151,0.554042,1.73488
"eir_20","IBM",1,158,0.551486,1.66446
"eir_20","IBM",1,165,0.550054,1.35248
"eir_20","IBM",1,172,0.551224,1.61943
"eir_20","IBM",1,179,0.545905,1.71566
"eir_20","IBM",1,186,0.546779,1.69037
"eir_20","IBM",1,193,0.550292,1.83757
"eir_20","IBM",1,200,0.550808,1.38065
"eir_20","IBM",1,207,0.546864,1.40711
"eir_20","IBM",1,214,0.545548,1.42976
"eir_20","IBM",1,221,0.548535,1.52913
"eir_20","IBM",1,228,0.552024,1.57882
"eir_20","IBM",1,235,0.552495,1.19122
"eir_20","IBM",1,242,0.554779,1.6273
"eir_20","IBM",1,249,0.5553,1.33353
"eir_20","IBM",1,256,0.556406,1.5979
"eir_20","IBM",1,263,0.554476,1.64414
"eir_20","IBM",1,270,0.553848,1.4018
"eir_20","IBM",1,277,0.550167,1.20589
"eir_20","IBM",1,284,0.555931,1.25471
"eir_20","IBM",1,291,0.551868,1.47255
"eir_20","IBM",1,298,0.555806,1.47343
"eir_20","IBM",1,305,0.557198,1.76434
"eir_20","IBM",1,312,0.55683,1.61825
"eir_20","IBM",1,319,0.553329,1.03906
"eir_20","IBM",1,326,0.55057,1.49897
"eir_20","IBM",1,333,0.553744,1.69284
"eir_20","IBM",1,340,0.555654,1.76375
"eir_20","IBM",1,347,0.556225,1.49373
"eir_20","IBM",1,354,0.556061,1.58748
"eir_20","IBM",1,361,0.555963,1.54059
"eir_20","IBM",1,365,0.557192,1.85622
"demography","IBM",1,4,0.487921,1.14363
"demography","IBM",1,11,0.488235,1.39013
"demography","IBM",1,18,0.483717,0.908261
"demography","IBM",1,25,0.483851,1.51001
"demography","IBM",1,32,0.486846,1.08577
"demography","IBM",1,39,0.4909,1.27347
"demography","IBM",1,46,0.490325,0.787813
"demography","IBM",1,53,0.496311,0.788599
"demography","IBM",1,60,0.498806,1.51628
"demography","IBM",1,67,0.495284,1.6436
"demography","IBM",1,74,0.489743,1.15834
"demography","IBM",1,81,0.488783,1.34057
"demography","IBM",1,88,0.481959,1.03537
"demography","IBM",1,95,0.475502,1.15603
"demography","IBM",1,102,0.481863,1.21687
"demography","IBM",1,109,0.486065,0.670172
"demography","IBM",1,116,0.484886,1.21951
"demography","IBM",1,123,0.480075,0.729878
"demography","IBM",1,130,0.480815,1.33789
"demography","IBM",1,137,0.477836,1.15506
"demography","IBM",1,144,0.479559,1.15545
"demography","IBM",1,151,0.488921,1.33633
"demography","IBM",1,158,0.490991,1.08829
"demography","IBM",1,165,0.492764,1.33145
"demography","IBM",1,172,0.493967,0.910376
"demography","IBM",1,179,0.492568,1.57589
"demography","IBM",1,186,0.491946,1.21202
"demography","IBM",1,193,0.494203,0.971714
"demography","IBM",1,200,0.492751,1.09209
"demography","IBM",1,207,0.499689,1.14951
"demography","IBM",1,214,0.497254,0.660253
"demography","IBM",1,221,0.493993,1.01805
"demography","IBM",1,228,0.499741,0.956123
"demography","IBM",1,235,0.504443,1.7361
"demography","IBM",1,242,0.50362,1.25841
"demography","IBM",1,249,0.496574,1.62302
"demography","IBM",1,256,0.488142,1.02174
"demography","IBM",1,263,0.489101,1.32312
"demography","IBM",1,270,0.487302,1.32421
