"iso3c","site","cor","ibm","fleet","n"
"AFG","AFG_Faryab_urban",0.8854880514,0.005878744322,0.01836822512,324
"AGO","AGO_Bengo_rural",0.9949646095,0.3503650573,0.36417089,324
"AGO","AGO_Bengo_urban",0.99750572,0.290652552,0.3036112597,324
"AGO","AGO_Benguela_rural",0.9958192742,0.4289210687,0.4385289314,324
"AGO","AGO_Benguela_urban",0.9970029159,0.2872800197,0.299741446,324
"AGO","AGO_Bié_rural",0.995413616,0.5092501749,0.516512222,324
"AGO","AGO_Bié_urban",0.9948694492,0.4744952697,0.4803761444,324
"AGO","AGO_Cabinda_rural",0.9957518681,0.4978270815,0.5028787961,324
"AGO","AGO_Cabinda_urban",0.996854428,0.3783177378,0.3898351884,324
"AGO","AGO_Cuando Cubango_rural",0.9935753113,0.4194440453,0.4230575285,324
"AGO","AGO_Cuando Cubango_urban",0.9960376593,0.5042086477,0.5030121165,324
"AGO","AGO_Cuanza Norte_rural",0.9964193404,0.5154193521,0.5230069348,324
"AGO","AGO_Cuanza Norte_urban",0.9958986155,0.5168648636,0.5232409113,324
"AGO","AGO_Cuanza Sul_rural",0.9956845198,0.5359210166,0.5380500068,324
"AGO","AGO_Cuanza Sul_urban",0.9958917406,0.4731015449,0.482342388,324
"AGO","AGO_Cunene_rural",0.9768485831,0.2637788232,0.2977089614,324
"AGO","AGO_Cunene_urban",0.9762136546,0.2231454031,0.2557066175,324
"AGO","AGO_Huambo_rural",0.9826319881,0.3879841745,0.4160451341,324
"AGO","AGO_Huambo_urban",0.984895161,0.3687090588,0.395906362,324
"AGO","AGO_Huíla_rural",0.9869390349,0.3980300912,0.4299113623,324
"AGO","AGO_Huíla_urban",0.9664908861,0.2947123168,0.3413600257,324
"AGO","AGO_Luanda_rural",0.9977815696,0.302559683,0.3134840894,324
"AGO","AGO_Luanda_urban",0.9981156958,0.2260468346,0.2380926692,324
"AGO","AGO_Lunda Norte_rural",0.9955724406,0.4672655809,0.4739038429,324
"AGO","AGO_Lunda Norte_urban",0.9947723232,0.4522895269,0.4604686508,324
"AGO","AGO_Lunda Sul_rural",0.9962040167,0.4025741293,0.4108793409,324
"AGO","AGO_Lunda Sul_urban",0.9948052455,0.2990192929,0.3170364283,324
"AGO","AGO_Malanje_rural",0.9955465054,0.5458412075,0.5519722086,324
"AGO","AGO_Malanje_urban",0.9956454246,0.4395933077,0.4523254,324
"AGO","AGO_Moxico_rural",0.9958784185,0.5119656613,0.5180289867,324
"AGO","AGO_Moxico_urban",0.9958585748,0.4149749064,0.4226433896,324
"AGO","AGO_Namibe_rural",0.9899381929,0.2881742904,0.3159050441,324
"AGO","AGO_Namibe_urban",0.9919291367,0.2551419208,0.2788795227,324
"AGO","AGO_Uíge_rural",0.9953353025,0.5223781972,0.5316329715,324
"AGO","AGO_Uíge_urban",0.9952296103,0.4203378582,0.4336033778,324
"AGO","AGO_Zaire_rural",0.9967392733,0.524172532,0.5321656605,324
"AGO","AGO_Zaire_urban",0.995989229,0.4256944485,0.432628364,324
"BDI","BDI_Bubanza_rural",0.9943555589,0.340102754,0.3564307395,324
"BDI","BDI_Bubanza_urban",0.9928090214,0.3475064804,0.3605066526,324
"BDI","BDI_Bujumbura Mairie_rural",0.9933511003,0.3091520088,0.3256380125,324
"BDI","BDI_Bujumbura Mairie_urban",0.9924575884,0.2777050906,0.298175533,324
"BDI","BDI_Bujumbura Rural_rural",0.992151866,0.3012041894,0.32483198,324
"BDI","BDI_Bujumbura Rural_urban",0.9923709668,0.2976531972,0.3210999095,324
"BDI","BDI_Bururi_rural",0.9927336918,0.331221017,0.3495327949,324
"BDI","BDI_Bururi_urban",0.9912357147,0.3344356139,0.3553660793,324
"BDI","BDI_Cankuzo_rural",0.9869582694,0.4885028297,0.5092905121,324
"BDI","BDI_Cibitoke_rural",0.9931532148,0.3552341911,0.3747352362,324
"BDI","BDI_Cibitoke_urban",0.993031335,0.3817164257,0.3898179508,324
"BDI","BDI_Gitega_rural",0.9927110861,0.3839982948,0.3988903541,324
"BDI","BDI_Gitega_urban",0.9931551837,0.3914149683,0.4071365668,324
"BDI","BDI_Karuzi_rural",0.96524311,0.3701743823,0.3993786201,324
"BDI","BDI_Kayanza_rural",0.9920187118,0.3421618961,0.3670475577,324
"BDI","BDI_Kayanza_urban",0.9935766326,0.3551214789,0.376336701,324
"BDI","BDI_Kirundo_rural",0.9941327658,0.4509162533,0.4635360729,324
"BDI","BDI_Kirundo_urban",0.9924931321,0.4697387258,0.4791102262,324
"BDI","BDI_Makamba_rural",0.9929694837,0.3939914258,0.4096628835,324
"BDI","BDI_Makamba_urban",0.9927640826,0.4127605793,0.427792489,324
"BDI","BDI_Muramvya_rural",0.9948698374,0.3438808295,0.3650709038,324
"BDI","BDI_Muyinga_rural",0.98983908,0.4752229835,0.4891721533,324
"BDI","BDI_Muyinga_urban",0.9914356029,0.4825048869,0.4949242245,324
"BDI","BDI_Mwaro_rural",0.9919285624,0.3979244199,0.4163771702,324
"BDI","BDI_Ngozi_rural",0.9823032471,0.4020994571,0.4311651461,324
"BDI","BDI_Ngozi_urban",0.9845753953,0.366874824,0.3957481619,324
"BDI","BDI_Rutana_rural",0.9924003097,0.4228449379,0.4308408506,324
"BDI","BDI_Ruyigi_rural",0.9900139782,0.4699108811,0.4829274596,324
"BEN","BEN_Alibori_rural",0.9955029392,0.6021044897,0.6067484032,324
"BEN","BEN_Alibori_urban",0.9949850633,0.5629530818,0.5704220178,324
"BEN","BEN_Atakora_rural",0.9814948476,0.6171032119,0.6552229788,324
"BEN","BEN_Atakora_urban",0.9914384981,0.5579987393,0.567735171,324
"BEN","BEN_Atlantique_rural",0.9971137503,0.5137210069,0.5240177667,324
"BEN","BEN_Atlantique_urban",0.996980121,0.4472443978,0.4640467646,324
"BEN","BEN_Borgou_rural",0.9971885137,0.5709106086,0.5815439934,324
"BEN","BEN_Borgou_urban",0.9971374156,0.4752277621,0.4904796087,324
