"grid","n_group","age_lo","age_hi","fleet","converged","ibm"
"log53",53,0,1,1.079871075,1.102254601,1.09177
"log53",53,1,2,1.820735765,1.860037887,1.840485
"log53",53,2,3,1.734838174,1.788339047,1.760665
"log53",53,3,5,1.450150071,1.502670888,1.47897
"log53",53,5,7,1.198663836,1.233489976,1.207065
"log53",53,7,10,0.9038927238,0.9399081895,0.929315
"log53",53,10,15,0.5658765572,0.5903798456,0.5938285
"log53",53,15,20,0.3626743649,0.3696103026,0.371883
"log53",53,20,30,0.2474245759,0.2465008089,0.244438
"log53",53,30,40,0.1738574462,0.1715051278,0.1678725
"log53",53,40,60,0.1329469843,0.1283449234,0.1248615
"log53",53,60,85,0.1008592143,0.09665299673,0.09868855
"log105",105,0,1,1.09311712,1.102254601,1.09177
"log105",105,1,2,1.837939213,1.860037887,1.840485
"log105",105,2,3,1.757459736,1.788339047,1.760665
"log105",105,3,5,1.472903904,1.502670888,1.47897
"log105",105,5,7,1.213370641,1.233489976,1.207065
"log105",105,7,10,0.9223794823,0.9399081895,0.929315
"log105",105,10,15,0.5803750606,0.5903798456,0.5938285
"log105",105,15,20,0.3671420138,0.3696103026,0.371883
"log105",105,20,30,0.2465218134,0.2465008089,0.244438
"log105",105,30,40,0.1728744118,0.1715051278,0.1678725
"log105",105,40,60,0.1303232661,0.1283449234,0.1248615
"log105",105,60,85,0.09881135573,0.09665299673,0.09868855
"log209",209,0,1,1.097663808,1.102254601,1.09177
"log209",209,1,2,1.849494693,1.860037887,1.840485
"log209",209,2,3,1.773016153,1.788339047,1.760665
"log209",209,3,5,1.488454254,1.502670888,1.47897
"log209",209,5,7,1.22345083,1.233489976,1.207065
"log209",209,7,10,0.9301107005,0.9399081895,0.929315
"log209",209,10,15,0.5855549415,0.5903798456,0.5938285
"log209",209,15,20,0.3680317674,0.3696103026,0.371883
"log209",209,20,30,0.2465279686,0.2465008089,0.244438
"log209",209,30,40,0.1721317757,0.1715051278,0.1678725
"log209",209,40,60,0.129452107,0.1283449234,0.1248615
"log209",209,60,85,0.09773812519,0.09665299673,0.09868855
"log417",417,0,1,1.099959204,1.102254601,1.09177
"log417",417,1,2,1.85476629,1.860037887,1.840485
"log417",417,2,3,1.7806776,1.788339047,1.760665
"log417",417,3,5,1.495562571,1.502670888,1.47897
"log417",417,5,7,1.228470403,1.233489976,1.207065
"log417",417,7,10,0.935009445,0.9399081895,0.929315
"log417",417,10,15,0.5879673936,0.5903798456,0.5938285
"log417",417,15,20,0.368821035,0.3696103026,0.371883
"log417",417,20,30,0.2465143888,0.2465008089,0.244438
"log417",417,30,40,0.1718184517,0.1715051278,0.1678725
"log417",417,40,60,0.1288985152,0.1283449234,0.1248615
"log417",417,60,85,0.09719556096,0.09665299673,0.09868855
"old",52,0,1,1.061551462,1.102254601,1.09177
"old",52,1,2,1.808700006,1.860037887,1.840485
"old",52,2,3,1.734783724,1.788339047,1.760665
"old",52,3,5,1.472175928,1.502670888,1.47897
"old",52,5,7,1.152084478,1.233489976,1.207065
"old",52,7,10,0.8932135589,0.9399081895,0.929315
"old",52,10,15,0.5778494748,0.5903798456,0.5938285
"old",52,15,20,0.3307453575,0.3696103026,0.371883
"old",52,20,30,0.2439734648,0.2465008089,0.244438
"old",52,30,40,0.1794010826,0.1715051278,0.1678725
"old",52,40,60,0.137597361,0.1283449234,0.1248615
"old",52,60,85,0.1032243693,0.09665299673,0.09868855
"flat",53,0,1,0.9303219376,1.102254601,1.09177
"flat",53,1,2,1.196415021,1.860037887,1.840485
"flat",53,2,3,1.532159778,1.788339047,1.760665
"flat",53,3,5,1.338082364,1.502670888,1.47897
"flat",53,5,7,1.145391435,1.233489976,1.207065
"flat",53,7,10,0.8948053981,0.9399081895,0.929315
"flat",53,10,15,0.5840660273,0.5903798456,0.5938285
"flat",53,15,20,0.3758014319,0.3696103026,0.371883
"flat",53,20,30,0.2524055646,0.2465008089,0.244438
"flat",53,30,40,0.1770673023,0.1715051278,0.1678725
"flat",53,40,60,0.1327530717,0.1283449234,0.1248615
"flat",53,60,85,0.09919710272,0.09665299673,0.09868855
